gene,count
609,93
3939,61
331,55
913,54
1719,54
4545,53
363,50
4330,43
1088,40
578,39
1067,36
1076,35
701,35
3374,34
693,31
734,31
920,30
738,28
4072,27
1112,27
3990,27
3664,26
3646,24
4087,24
1556,22
2944,22
4315,22
4103,21
3999,21
720,21
4517,21
697,21
3929,20
10,19
1,17
4395,17
3281,16
3016,16
4153,15
4548,15
4980,15
3291,15
3599,14
717,14
3268,14
297,13
1345,13
2855,12
3259,12
1313,12
1587,12
4551,12
451,12
1129,11
4039,11
2369,11
1658,10
291,10
2896,9
1965,8
492,8
1646,8
1588,8
340,8
1642,8
4514,8
3504,8
4495,8
4670,8
3241,7
3878,7
804,7
2911,7
904,7
683,7
77,7
3960,7
1116,6
477,6
4553,6
3207,6
691,5
757,5
1072,5
812,5
2967,5
3312,5
4491,5
636,5
2851,5
3916,5
2390,5
4012,4
269,4
640,4
1627,4
708,4
723,4
3264,4
5158,4
912,4
3199,4
5730,3
2814,3
1328,3
957,3
2810,3
2940,3
306,3
4377,3
3921,3
1571,3
4507,3
3695,3
4162,3
4499,3
5938,3
2948,3
5304,3
1490,3
3792,3
2818,3
4404,3
925,3
3847,2
1344,2
3556,2
3803,2
730,2
72,2
488,2
447,2
626,2
34,2
304,2
484,2
353,2
741,2
3191,2
1506,2
4114,2
3711,2
593,2
4281,2
317,2
211,2
5392,2
376,2
513,2
151,2
4363,2
538,2
43,2
2867,2
313,2
1096,2
5406,2
3307,2
831,2
4366,2
489,1
4498,1
5899,1
2863,1
1994,1
5157,1
641,1
1781,1
1017,1
5962,1
4996,1
995,1
5442,1
5415,1
1081,1
2288,1
2282,1
129,1
67,1
3342,1
166,1
1049,1
1673,1
5433,1
952,1
4995,1
1668,1
695,1
679,1
5655,1
4635,1
5289,1
3670,1
5393,1
5950,1
821,1
3834,1
5546,1
37,1
1018,1
54,1
994,1
2992,1
1846,1
736,1
1565,1
1149,1
1443,1
3186,1
2221,1
5335,1
2375,1
1750,1
1650,1
610,1
100,1
676,1
2922,1
4385,1
5256,1
2744,1
2949,1
475,1
1491,1
1813,1
1212,1
4651,1
2865,1
1089,1
380,1
4142,1
5282,1
3018,1
4004,1
4079,1
3566,1
5976,1
4133,1
2784,1
1907,1
193,1
234,1
3691,1
4314,1
909,1
517,1
5141,1
3584,1
4225,1
4427,1
97,1
1728,1
5502,1
480,1
659,1
1177,1
675,1
4168,1
678,1
4035,1
1361,1
1746,1
25,1
284,1
4411,1
1691,1
4056,1
2840,1
699,1
2907,1
448,1
732,1
