split	MCE	Sensitivity	Specificity
1	0.11764705882352944	0.7777777777777778	1.0
2	0.2647058823529411	0.6111111111111112	0.875
3	0.17647058823529416	0.8333333333333334	0.8125
4	0.17647058823529416	0.8888888888888888	0.75
5	0.20588235294117652	0.8888888888888888	0.6875
6	0.23529411764705888	0.6666666666666666	0.875
7	0.32352941176470584	0.6111111111111112	0.75
8	0.2941176470588235	0.6666666666666666	0.75
9	0.11764705882352944	0.8888888888888888	0.875
10	0.20588235294117652	0.7222222222222222	0.875
11	0.2647058823529411	0.7222222222222222	0.75
12	0.20588235294117652	0.8333333333333334	0.75
13	0.2647058823529411	0.6666666666666666	0.8125
14	0.2647058823529411	0.7222222222222222	0.75
15	0.23529411764705888	0.7777777777777778	0.75
16	0.20588235294117652	0.7222222222222222	0.875
17	0.2941176470588235	0.6666666666666666	0.75
18	0.32352941176470584	0.7222222222222222	0.625
19	0.23529411764705888	0.6666666666666666	0.875
20	0.3529411764705882	0.7777777777777778	0.5
21	0.23529411764705888	0.7777777777777778	0.75
22	0.2647058823529411	0.6111111111111112	0.875
23	0.2647058823529411	0.7222222222222222	0.75
24	0.1470588235294118	0.8333333333333334	0.875
25	0.2941176470588235	0.6666666666666666	0.75
26	0.2647058823529411	0.6666666666666666	0.8125
27	0.2647058823529411	0.8888888888888888	0.5625
28	0.1470588235294118	0.8333333333333334	0.875
29	0.17647058823529416	0.8888888888888888	0.75
30	0.20588235294117652	0.7222222222222222	0.875
31	0.3529411764705882	0.5	0.8125
32	0.2941176470588235	0.7222222222222222	0.6875
33	0.23529411764705888	0.7777777777777778	0.75
34	0.17647058823529416	0.7777777777777778	0.875
35	0.20588235294117652	0.7777777777777778	0.8125
36	0.20588235294117652	0.8333333333333334	0.75
37	0.23529411764705888	0.8333333333333334	0.6875
38	0.20588235294117652	0.7777777777777778	0.8125
39	0.32352941176470584	0.6666666666666666	0.6875
40	0.20588235294117652	0.6666666666666666	0.9375
41	0.38235294117647056	0.6111111111111112	0.625
42	0.2941176470588235	0.7222222222222222	0.6875
43	0.17647058823529416	0.7222222222222222	0.9375
44	0.20588235294117652	0.7777777777777778	0.8125
45	0.2941176470588235	0.5	0.9375
46	0.32352941176470584	0.7777777777777778	0.5625
47	0.2647058823529411	0.6111111111111112	0.875
48	0.32352941176470584	0.6666666666666666	0.6875
49	0.23529411764705888	0.7777777777777778	0.75
50	0.2647058823529411	0.6666666666666666	0.8125
51	0.2647058823529411	0.6666666666666666	0.8125
52	0.38235294117647056	0.4444444444444444	0.8125
53	0.2647058823529411	0.6666666666666666	0.8125
54	0.2647058823529411	0.6111111111111112	0.875
55	0.23529411764705888	0.7222222222222222	0.8125
56	0.23529411764705888	0.7777777777777778	0.75
57	0.2941176470588235	0.7777777777777778	0.625
58	0.23529411764705888	0.6111111111111112	0.9375
59	0.2647058823529411	0.6666666666666666	0.8125
60	0.5	0.4444444444444444	0.5625
61	0.17647058823529416	0.8333333333333334	0.8125
62	0.2647058823529411	0.6666666666666666	0.8125
63	0.2941176470588235	0.7222222222222222	0.6875
64	0.3529411764705882	0.7777777777777778	0.5
65	0.2941176470588235	0.6666666666666666	0.75
66	0.20588235294117652	0.7777777777777778	0.8125
67	0.4117647058823529	0.5	0.6875
68	0.3529411764705882	0.6666666666666666	0.625
69	0.2941176470588235	0.6666666666666666	0.75
70	0.20588235294117652	0.6666666666666666	0.9375
71	0.17647058823529416	0.7777777777777778	0.875
72	0.38235294117647056	0.6111111111111112	0.625
73	0.23529411764705888	0.8888888888888888	0.625
74	0.38235294117647056	0.6111111111111112	0.625
75	0.20588235294117652	0.8333333333333334	0.75
76	0.2941176470588235	0.7222222222222222	0.6875
77	0.2647058823529411	0.5555555555555556	0.9375
78	0.2647058823529411	0.8333333333333334	0.625
79	0.2647058823529411	0.6666666666666666	0.8125
80	0.2647058823529411	0.6666666666666666	0.8125
81	0.17647058823529416	0.7222222222222222	0.9375
82	0.2647058823529411	0.7222222222222222	0.75
83	0.4117647058823529	0.5	0.6875
84	0.32352941176470584	0.7222222222222222	0.625
85	0.32352941176470584	0.8333333333333334	0.5
86	0.2941176470588235	0.6666666666666666	0.75
87	0.3529411764705882	0.6111111111111112	0.6875
88	0.20588235294117652	0.8888888888888888	0.6875
89	0.2647058823529411	0.7222222222222222	0.75
90	0.2941176470588235	0.7777777777777778	0.625
91	0.2647058823529411	0.6666666666666666	0.8125
92	0.4411764705882353	0.5555555555555556	0.5625
93	0.2941176470588235	0.7222222222222222	0.6875
94	0.2647058823529411	0.7222222222222222	0.75
95	0.08823529411764708	0.8333333333333334	1.0
96	0.17647058823529416	0.7777777777777778	0.875
97	0.2647058823529411	0.7777777777777778	0.6875
98	0.2647058823529411	0.6666666666666666	0.8125
99	0.23529411764705888	0.7222222222222222	0.8125
100	0.4117647058823529	0.5555555555555556	0.625
